Country	Value
Syria	0.547
PapuaNewGuinea	0.740
Rwanda	0.412
Tanzania	0.539
Uganda	0.531
Mauritania	0.620
Benin	0.613
Lesotho	0.546
Cote	0.657
Senegal	0.523
Togo	0.566
Sudan	0.560
Haiti	0.620
Afghanistan	0.575
Malawi	0.615
Ethiopia	0.508
Gambia	0.620
Liberia	0.651
Yemen	0.834
Congo	0.655
Mozambique	0.569
SierraLeone	0.644
BurkinaFaso	0.612
Mali	0.676
Burundi	0.520
Chad	0.701
CAR	0.682
Niger	0.647
