country,gender,preference,isocode,logAvgGDPpc,GenderIndex,GDI,genderOrig,residualsgenderGEI_trust,residualsgenderGDP_trust,residualsgenderGDI_trust,residualslogAvgGDPpc_trust,residualsGenderIndex_trust,residualslogAvgGDPpc2_trust,residualsgenderGEI_altruism,residualsgenderGDP_altruism,residualsgenderGDI_altruism,residualslogAvgGDPpc_altruism,residualsGenderIndex_altruism,residualslogAvgGDPpc2_altruism,residualsgenderGEI_negrecip,residualsgenderGDP_negrecip,residualsgenderGDI_negrecip,residualslogAvgGDPpc_negrecip,residualsGenderIndex_negrecip,residualslogAvgGDPpc2_negrecip,residualsgenderGEI_posrecip,residualsgenderGDP_posrecip,residualsgenderGDI_posrecip,residualslogAvgGDPpc_posrecip,residualsGenderIndex_posrecip,residualslogAvgGDPpc2_posrecip,residualsgenderGEI_risktaking,residualsgenderGDP_risktaking,residualsgenderGDI_risktaking,residualslogAvgGDPpc_risktaking,residualsGenderIndex_risktaking,residualslogAvgGDPpc2_risktaking,residualsgenderGEI_patience,residualsgenderGDP_patience,residualsgenderGDI_patience,residualslogAvgGDPpc_patience,residualsGenderIndex_patience,residualslogAvgGDPpc2_patience,meanGender,stdGender
Afghanistan,-0.246864326895601,trust,AFG,6.07601480077745,-3.65162029935192,0.618374558303887,-0.246864326895601,-0.172925517871262,-0.183742326349729,-0.118846516530402,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0929655650720033,0.0790746588813636,0.171809142196024,-0.792543028666696,-2.11360350536131,0.726385509429258,0.233191762830493,0.209548315605232,0.200471025265979,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0169227520820722,0.0257276489620135,0.115535425513073,-0.792543028666696,-2.11360350536131,0.726385509429258,0.151647708713782,0.13492156243351,0.150396597657278,-0.792543028666696,-2.11360350536131,0.726385509429258,-0.204905376677922,-0.236679528252478,-0.16803953952141,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0675390679804523,0.027358290079596
Afghanistan,0.0512902582768561,altruism,AFG,6.07601480077745,-3.65162029935192,0.618374558303887,0.0512902582768561,-0.172925517871262,-0.183742326349729,-0.118846516530402,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0929655650720033,0.0790746588813636,0.171809142196024,-0.792543028666696,-2.11360350536131,0.726385509429258,0.233191762830493,0.209548315605232,0.200471025265979,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0169227520820722,0.0257276489620135,0.115535425513073,-0.792543028666696,-2.11360350536131,0.726385509429258,0.151647708713782,0.13492156243351,0.150396597657278,-0.792543028666696,-2.11360350536131,0.726385509429258,-0.204905376677922,-0.236679528252478,-0.16803953952141,-0.792543028666696,-2.11360350536131,0.726385509429258,0.105276154934275,0.0272856865563256
Afghanistan,0.274649650410628,negrecip,AFG,6.07601480077745,-3.65162029935192,0.618374558303887,-0.274649650410628,-0.172925517871262,-0.183742326349729,-0.118846516530402,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0929655650720033,0.0790746588813636,0.171809142196024,-0.792543028666696,-2.11360350536131,0.726385509429258,0.233191762830493,0.209548315605232,0.200471025265979,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0169227520820722,0.0257276489620135,0.115535425513073,-0.792543028666696,-2.11360350536131,0.726385509429258,0.151647708713782,0.13492156243351,0.150396597657278,-0.792543028666696,-2.11360350536131,0.726385509429258,-0.204905376677922,-0.236679528252478,-0.16803953952141,-0.792543028666696,-2.11360350536131,0.726385509429258,-0.140035737352011,0.0245438231557946
Afghanistan,0.0189887545836523,posrecip,AFG,6.07601480077745,-3.65162029935192,0.618374558303887,0.0189887545836523,-0.172925517871262,-0.183742326349729,-0.118846516530402,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0929655650720033,0.0790746588813636,0.171809142196024,-0.792543028666696,-2.11360350536131,0.726385509429258,0.233191762830493,0.209548315605232,0.200471025265979,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0169227520820722,0.0257276489620135,0.115535425513073,-0.792543028666696,-2.11360350536131,0.726385509429258,0.151647708713782,0.13492156243351,0.150396597657278,-0.792543028666696,-2.11360350536131,0.726385509429258,-0.204905376677922,-0.236679528252478,-0.16803953952141,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0544620005290997,0.0229528190378475
Afghanistan,0.240400927788909,risktaking,AFG,6.07601480077745,-3.65162029935192,0.618374558303887,-0.240400927788909,-0.172925517871262,-0.183742326349729,-0.118846516530402,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0929655650720033,0.0790746588813636,0.171809142196024,-0.792543028666696,-2.11360350536131,0.726385509429258,0.233191762830493,0.209548315605232,0.200471025265979,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0169227520820722,0.0257276489620135,0.115535425513073,-0.792543028666696,-2.11360350536131,0.726385509429258,0.151647708713782,0.13492156243351,0.150396597657278,-0.792543028666696,-2.11360350536131,0.726385509429258,-0.204905376677922,-0.236679528252478,-0.16803953952141,-0.792543028666696,-2.11360350536131,0.726385509429258,-0.182219383024572,0.0253670250292599
Afghanistan,-0.264139149215466,patience,AFG,6.07601480077745,-3.65162029935192,0.618374558303887,0.264139149215466,-0.172925517871262,-0.183742326349729,-0.118846516530402,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0929655650720033,0.0790746588813636,0.171809142196024,-0.792543028666696,-2.11360350536131,0.726385509429258,0.233191762830493,0.209548315605232,0.200471025265979,-0.792543028666696,-2.11360350536131,0.726385509429258,0.0169227520820722,0.0257276489620135,0.115535425513073,-0.792543028666696,-2.11360350536131,0.726385509429258,0.151647708713782,0.13492156243351,0.150396597657278,-0.792543028666696,-2.11360350536131,0.726385509429258,-0.204905376677922,-0.236679528252478,-0.16803953952141,-0.792543028666696,-2.11360350536131,0.726385509429258,-0.0555686251652444,0.0242829699449249
Algeria,0.144133365957039,trust,DZA,8.37734266346542,-2.47294991498973,0.836173001310616,0.144133365957039,0.172405930958805,0.0944466814566235,0.140359335981907,0.904224696971789,-2.26280877719913,0.741802234593804,0.109651738079874,0.0283135129860509,0.0837580497365449,0.904224696971789,-2.26280877719913,0.741802234593804,0.0785934220861502,0.0220729211816254,0.0333085045083882,0.904224696971789,-2.26280877719913,0.741802234593804,0.156533396669439,0.129411738401717,0.17028903262067,0.904224696971789,-2.26280877719913,0.741802234593804,0.184210348229675,0.131398286088649,0.150981673650175,0.904224696971789,-2.26280877719913,0.741802234593804,0.0832590735129477,0.0168568578297439,0.0549669172271072,0.904224696971789,-2.26280877719913,0.741802234593804,0.0675390679804523,0.027358290079596
Algeria,0.115409439560518,altruism,DZA,8.37734266346542,-2.47294991498973,0.836173001310616,0.115409439560518,0.172405930958805,0.0944466814566235,0.140359335981907,0.904224696971789,-2.26280877719913,0.741802234593804,0.109651738079874,0.0283135129860509,0.0837580497365449,0.904224696971789,-2.26280877719913,0.741802234593804,0.0785934220861502,0.0220729211816254,0.0333085045083882,0.904224696971789,-2.26280877719913,0.741802234593804,0.156533396669439,0.129411738401717,0.17028903262067,0.904224696971789,-2.26280877719913,0.741802234593804,0.184210348229675,0.131398286088649,0.150981673650175,0.904224696971789,-2.26280877719913,0.741802234593804,0.0832590735129477,0.0168568578297439,0.0549669172271072,0.904224696971789,-2.26280877719913,0.741802234593804,0.105276154934275,0.0272856865563256
Algeria,0.151870278385688,negrecip,DZA,8.37734266346542,-2.47294991498973,0.836173001310616,-0.151870278385688,0.172405930958805,0.0944466814566235,0.140359335981907,0.904224696971789,-2.26280877719913,0.741802234593804,0.109651738079874,0.0283135129860509,0.0837580497365449,0.904224696971789,-2.26280877719913,0.741802234593804,0.0785934220861502,0.0220729211816254,0.0333085045083882,0.904224696971789,-2.26280877719913,0.741802234593804,0.156533396669439,0.129411738401717,0.17028903262067,0.904224696971789,-2.26280877719913,0.741802234593804,0.184210348229675,0.131398286088649,0.150981673650175,0.904224696971789,-2.26280877719913,0.741802234593804,0.0832590735129477,0.0168568578297439,0.0549669172271072,0.904224696971789,-2.26280877719913,0.741802234593804,-0.140035737352011,0.0245438231557946
Algeria,0.175511784926213,posrecip,DZA,8.37734266346542,-2.47294991498973,0.836173001310616,0.175511784926213,0.172405930958805,0.0944466814566235,0.140359335981907,0.904224696971789,-2.26280877719913,0.741802234593804,0.109651738079874,0.0283135129860509,0.0837580497365449,0.904224696971789,-2.26280877719913,0.741802234593804,0.0785934220861502,0.0220729211816254,0.0333085045083882,0.904224696971789,-2.26280877719913,0.741802234593804,0.156533396669439,0.129411738401717,0.17028903262067,0.904224696971789,-2.26280877719913,0.741802234593804,0.184210348229675,0.131398286088649,0.150981673650175,0.904224696971789,-2.26280877719913,0.741802234593804,0.0832590735129477,0.0168568578297439,0.0549669172271072,0.904224696971789,-2.26280877719913,0.741802234593804,0.0544620005290997,0.0229528190378475
