country,avgGenderDiff,isocode,logAvgGDPpc,Date,ScoreWEF,avgRatioLabor,ValueUN,GDI,region,telephone,personal,avgGenderDiffRescaled,GenderIndex,logAvgGDPpcStd,DateStd,ScoreWEFStd,avgRatioLaborStd,ValueUNStd,GDIStd,GenderIndexStd,GenderIndexRescaled,residualslogAvgGDPpc,residualsavgGenderDiff_GEI,residualsGenderIndexStd,residualsavgGenderDiff_GDP,residualsScoreWEFStd,residualsValueUNStd,residualsavgRatioLaborStd,residualsDateStd,residualsGDIStd
Algeria,0.175908969646389,DZA,8.37734266346542,1962,0.632,19.5617557971058,7.09,0.836173001310616,Middle East and North Africa,F,T,0.694822859314575,-2.47294991498973,-0.254662564916993,-0.800500830093517,-1.30357750951822,-2.24436670411413,-0.655534167934598,-1.45488616884488,-1.63035573312963,0.16542203180228,0.90422469697179,0.358796969692191,-1.49181479192957,0.20848099098172,-1.21158172665538,-0.429719631931306,-2.2191906582231,-0.705247209067901,-1.31951615269418
Argentina,0.1836310602049,ARG,9.15503477940437,1947,0.734,65.6493715940859,6.02,0.992797118847539,Latin America and Caribbean,F,T,0.704509429393362,0.143549225636374,0.28913923314251,-0.0120749903385925,0.547442063161943,-0.0923058657251586,-0.300180094868187,0.707527516104496,0.09463851313121,0.524036016456781,0.339869791085632,0.173014819808915,-0.0626583455982401,0.146649381041066,0.477757966074189,-0.537657817339116,-0.120890289214602,-0.146932853879427,0.553830867863082
Australia,0.349827379362559,AUS,10.831083350524,1962,0.733,80.1646064755815,2,0.97571277719113,East Asia and Pacific,T,F,0.912985654860925,0.815361957678347,1.46111745939663,-0.800500830093517,0.529294812449392,0.585482906991767,1.03488847870842,0.471654428503793,0.537548307880797,0.616113799720087,1.67133415720329,0.289526959669731,-0.257325442388047,0.16294655894671,0.111165197892512,-0.201056775979944,0.44103623410934,-1.4312850596104,-0.305026251442491
Austria,0.328612611482283,AUT,10.7415607995392,1918,0.733,78.1743806741309,1.18,0.961915125136017,Europe,T,F,0.886373905850678,1.86804012321796,1.39851874816543,1.51221496652093,0.529294812449392,0.492549329656794,1.30721589918922,0.281158660078398,1.23155341972109,0.760392506195267,1.04187502643239,0.190460957027094,0.470734475955543,0.149738333207605,0.129776670221286,0.124601652981087,0.354291191108771,0.90791958353739,-0.462246659772686
Bangladesh,-0.252304448344944,BGD,6.55805694315242,1972,0.704,34.2449260804688,8.4,0.844771241830065,South Asia,F,T,0.157673074470602,-1.84402722140426,-1.5267994756734,-1.3261180565968,0.00302454178542476,-1.55873618919622,-1.09059382748319,-1.33617550500756,-1.21572229758484,0.251621361924115,-1.23764619632262,-0.115928677647605,-0.385116368313289,-0.057022722848241,0.47324441979795,0.219018490314591,-1.40779616517465,-0.692555599244193,-0.524580484168274
Bolivia,0.164057423342993,BOL,7.51692562881957,1952,0.749,75.0511702227959,7.26,0.924393723252497,Latin America and Caribbean,F,T,0.679956310814532,0.201809431844,-0.856309824715329,-0.274883603590234,0.819650823850202,0.34671104346787,-0.711992291692813,-0.236876456015927,0.133048050108959,0.532021084890593,-1.32812201262825,0.149132526095132,0.598895745916118,0.273581734029854,1.09052475144136,0.0263959775924228,0.431366184874326,0.0749589956836379,0.21830891777273
Botswana,0.0659597919621368,BWA,8.73160425672903,1965,0.71,78.9223233143459,7.15,0.981348637015782,Sub-Saharan Africa,"","",0.55690290011782,-0.360031342707121,-0.00694487889212542,-0.958185998044502,0.111908046060728,0.527474505054418,-0.675460564555145,0.549465308481526,-0.237359907748618,0.455015915741202,0.174734328210191,0.0925860539104237,-0.233581770751729,0.0668480604970875,0.130253896391062,-0.660689255389275,0.528161078637594,-0.967754914730154,0.55315697147918
Brazil,-0.146768819786068,BRA,9.24850504607934,1932,0.686,69.8535767861713,6.54,0.994550408719346,Latin America and Caribbean,F,T,0.290056689257099,0.00985133411392122,0.354498387544617,0.776350849416332,-0.323625971040484,0.104009460940785,-0.472875532246256,0.731734120247597,0.00649474498219804,0.505711556542264,0.501915985937323,-0.147497379140609,-0.186358650177565,-0.19211010913579,-0.412742258818144,-0.766036024364085,0.0689636045699005,0.613836048912168,0.543294753578395
Cambodia,-0.319828517390493,KHM,6.56080194725664,1955,0.662,88.7073261659071,7.59,0.906735751295337,East Asia and Pacific,F,T,0.0729710599243413,-0.457159974288052,-1.52488002948517,-0.432568771541219,-0.759159988141698,0.984385132263501,-0.821587473105818,-0.480669307392169,-0.301394452237022,0.441703591248353,-1.94624905003338,-0.286019068646004,0.528167264346307,-0.124792294181161,-0.289510788325517,0.486389571394345,1.13513539904558,0.200181465966777,0.329905400698806
Cameroon,-0.139979100706622,CMR,7.14745441142489,1946,0.682,89.6817830538718,9.28,0.865486725663717,Sub-Saharan Africa,F,T,0.298573695005736,-0.31752956352818,-1.11466285187426,0.0404867323117358,-0.396214973890686,1.029887388586,-1.38284764458454,-1.05016945155493,-0.209339518442478,0.460841154568767,-1.43121540431108,-0.116496074836554,0.39705679532174,0.0025892512801876,-0.0485290781063709,-0.424355363390517,1.14008341649834,0.499652248195884,-0.457652336564004
Canada,0.397493749209187,CAN,10.7426526485155,1960,0.74,85.3499754231012,1.38,0.987925356750823,North America,T,F,0.97277822378021,1.15476362490604,1.39928222438485,-0.69537738479286,0.656325567437246,0.827613667101225,1.24079457712074,0.640266067526679,0.761307572330241,0.662631752809794,1.40881855310825,0.312092743469213,7.32839927204687e-05,0.218521820289562,0.256580433051443,0.057529886902946,0.68928005098019,-1.2999958352008,-0.103545090489851
