"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","620","620","640","650","680","760","800","840","890","900","950","970","1030","1070","1160","1250","1290","1350","1350","1410","1470","1530","1590","1570","1580","1750","1900","2030","2080","2050","2270",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1040","1110","1170","1220","1280","1340","1400","1470","1530","1620","1700","1780","1860","1990","2150","2360","2580","2790","2930","3100","3330","3740","3990","4220","4450","4770","5000","5460","5930","6140","6840",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950","6480","6800","6910","7190","7560","6630","5570","6060","5730","6270","6970","7950","8550","9310","10320","11130","11870","13650","13730","14640","15250","16100","16290","17470","17820","19460","20990","22270","23720","23940","27200",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27080","29780","30330","32390","31710","33700","34820","34230","35600","36040","38390","38750","38910","40990","42080","43620","44700","46730","46350","41820","43510","43420","52020","51700","49530","43330","42760","46190","47360","48830","46900","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19710","19110","18730","18660","19260","22160","24220","22490","21210","24070","25240","25940","26790","26710","27340","28680","29800","30600","30470","28740","28890","29300","29890","29380","30520","31170","31140","33350","33430","34970","26850","31010",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","840","1040","2010","2690","3830","4090","4520","4650","4950","5150","5910","6210","7090","7920","8910","9030","9240","9830","10180","10940","11240","11770","12740","13290","14500","15390","15250","17120",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5340","4920","4650","4190","3850","4050","4590","5060","5340","5780","6220","6690","7380","8490","9660","10970","12220","13720","13740","15050","16380","17700","18330","18440","17330","16950","17670","18730","19510","19420","20860",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4460","5030","5620","5970","5920","5970","5930","6070","6110","6480","7200","7410","7690","8190","8400","8650","9050","9170","8930","9110","8860","9080","8540","8770","8650","8910","8710","8390","8400","8770","7900","9330",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72180","71790","70450","72180","71390","74460","78530","85190","86070","86290","82650","91950",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2180","2330","2400","2510","2650","2780","2900","3050","3200","3190","3270","3350","3420","3480","3640","3870","4120","4340","4640","4710","4850","5140","5460","6100","6560","6750","7210","8000","8460","8710","8010","8620",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6440","6640","6670","7010","7350","7900","8100","8360","8330","8280","8740","8900","9190","9390","10100","10640","11320","12260","12960","12930","13810","14600","14620","15320","15370","14420","13910","14210","14550","14890","14480","15600",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9430","9380","9060","9280","9620","9950","10480","11210","11740","11860","12620","12500","12710","13150","13750","14510","15560","16610","16770","16110","16160","15670","15140","15090","14920","15230","15620","15470","15580","15790","14350","14810",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55170","57100","59510","59540","61180","63690","65180","63860","62830","64280","66210","68170","70520","72630","73620","74920","79310","80710","79340","77370","78210","80090","84510","81390","79960","64670","59540","63750","61450","65730","66940","66480",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380","1360","1470","1630","1800","1840","1970","2140","2090","2160","2710","2920","3160","3370","3570","3910","4300","5100","5310","5570","6130","6640","7080","7240","7860","8640","9390","10030","10470","11180","10440","11250",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5650","6380","6610","6990","6330","7080","7090","7830","8230","8300","8360","8730","8210","8950","9150","9950","11270","12290","12470","11020","11660","12890","12300","12810","14070","13020","13970","13400","13790","14930","14050","15420",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","620","620","580","570","590","630","600","630","650","670","640","680","690","660","700","710","750","790","800","870","910","950","1030","690","680","740","800","880","940","960","940","980",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24480","25430","26900","28590","29380","30180","31550","33190","35580","37510","38990","39780","38200","39310","40880","41540","43620","45010","43990","45900","47700","49140","48670","46050","51690",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6542.45662024852","6852.81396958305","7314.60716561992","7897.8902278318","8304.30670847324","8579.10882298983","8962.54768974022","9245.73960390989","9864.01068928325","10640.2284978012","11448.2629966134","12049.952948992","13003.6434485161","13898.0751358152","15346.6297989835","16927.6391831594","19010.9446380408","19116.7034199307","20120.4423251382","21468.8679049996","22307.3321404958","23122.3056388342","24146.390461783","25225.780855779","26805.3765156746","28820.9408574256","30903.0198441426","32679.454595995","33041.820542328","36088.9470680592",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31530","32310","34130","35450","36660","39100","39290","39750","41270","42720","45080","49790","51420","50560","54230","57860","58510","61140","63430","64210","66830","67820","68170","68800","69440","69160","75810",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4240","4670","5350","5880","6250","7040","7780","8420","8810","8750","9240","9700","10000","10400","10920","11680","14000","15220","15250","15010","16930","18560","20400","21430","21770","22130","22840","23590","24520","24260","23290","27020",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","1100","1260","1450","1660","1830","2030","2240","2410","2620","2880","3160","3500","3910","4420","5020","5830","6830","7630","8290","9220","10200","11140","11780","12500","12840","13420","14220","15430","16610","17050","19160",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2480","2500","2480","2440","2480","2620","1830","1940","1990","2010","1880","1840","1810","1750","1860","2060","2110","2150","2280","2340","2460","2250","2490","2650","4180","4480","4550","4610","4880","5200","5220","5670",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1940","1840","1780","1640","1650","1680","1740","1800","1870","1940","1970","2030","2110","2260","2450","2500","2640","2730","2800","2840","2860","2930","2980","3140","3340","3390","3500","3620","3750","3830","3780","3970",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490","470","510","480","460","430","420","400","410","430","460","480","510","540","550","560","590","620","620","670","750","810","910","990","1030","1040","1070","1110",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","3000","3180","2920","2890","2120","2170","2610","2820","2520","2700","2750","2910","2970","2840","3270","3910","3580","3920","4450","4790","4680","5740","5680","5770","4420","3550","3500","3640","3430","3030","3400",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4880","5070","5300","5650","6050","6380","6490","6710","6730","6440","6610","6740","6900","7150","7610","8200","8890","9590","9940","10050","10450","11200","11630","12360","13010","13200","13820","14090","14790","15380","14720","16540",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510","1440","1580","1620","1530","1580","1560","1610","1610","1640","1820","1870","1890","1930","1980","2060","2140","2180","2260","2300","2370","2460","2650","2800","2900","2900","3070","3260","3390","3450","3410","3560",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1010","1120","1220","1440","1630","1800","1990","2210","2430","2760","2880","2990","3150","3510","3770","4120","4910","5240","5160","5140","5420","5270","5300","5180","5490","5800","6100","6530","6970","5940","6590",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4740","4980","5440","5830","6150","6360","6450","6760","7090","7210","7440","7730","7980","8350","8860","9410","10350","11380","12060","11710","12340","12970","13740","14320","15260","16210","18110","19110","20010","21130","20870","21810",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5714.90370323935","5956.11191628109","6316.833454666","6750.96707409455","6945.73733401301","7364.80163879976","7788.78988726428","8025.94670612427","8187.99367606749","8610.4984084233","9017.78512683402","9341.22489576987","9808.59249228333","10548.2329668406","11352.164445134","11981.9902312521","13163.5792298274","14008.8173774014","14463.5373032065","13901.8766621793","14265.1106642871","14232.6124015374","14761.2372283012","15150.5961757639","15326.8568161801","15374.1203917364","14989.8758342932","15738.0006803171","15940.6190566033","16395.3821395596","15130.4589399753","16708.8843781324",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24480","25050","25860","26030","25510","25860","26160","25590","25420","25050","24950","24570","25500","25630","25750","21640","23790",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62790","64500","44080","38610","37170","38610","42330","46580","50780","55930","52500","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13260","13460","14650","14760","15620","16220","16480","16810","19320","18530","19460","21230","22340","23290","24480","26320","28350","30770","34260","33790","33040","34270","31690","30100","29370","31720","34470","37300","39210","40400","37760","40380",
"Czechia","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11770","12130","12740","13740","14470","14600","14760","15110","15920","17120","17600","18880","19940","21070","22430","24590","26270","25840","25790","26660","27370","28860","30270","31570","33660","36630","38880","40260","40260","43360",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19660","21060","21770","21900","22780","23520","24080","24530","25200","26110","27050","28170","28870","29600","31520","32060","34740","36810","38160","37650","39730","43630","44400","46040","47950","48690","51830","54340","57010","57460","56370","59630",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3680","3860","4100","4130","4250","4470","4820","4860","5300",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4240","4420","4630","4870","4890","5100","5270","5540","5880","5810","5850","6300","6140","6670","6960","7300","8220","8900","9780","9850","10130","10300","10040","10060","10820","10930","11710","11550","12150","12720","10970","11990",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17610","18380","19200","19720","21200","22270","23270","24480","25450","26370","28010","29000","30260","30540","32980","34430","37790","39200","41740","40730","43710","45340","45820","48210","49640","50550","53250","56570","59080","60400","62260","66720",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3540","3610","4020","4270","4420","4680","4990","5440","5760","6080","6420","6620","6930","6710","6860","7860","8780","9540","10050","10090","10910","11300","11320","11760","12680","13960","15230","15740","17130","18070","16830","19440",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6720","6570","6760","6690","6590","6770","7040","7180","7550","7750","8090","8580","8990","9710","10200","10910","11400","12220","12610","12640","13100","13410","13180","12850","12760","11760","11570","11630","11700","11820","11210","11860",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1434.99358805707","1572.86607416926","1750.13987361245","1947.73346943871","2174.80243199307","2383.33825569645","2609.93159101062","2801.78326552334","2812.60077722818","2980.34674613277","3241.20720271182","3507.03507683108","3812.19227066734","4186.9555306672","4640.68848139571","5177.72051965947","5878.25236075502","6720.21555337606","7381.09154681898","7882.58218007552","8664.81310767937","9478.59482676316","10300.3772553937","10826.2209443683","11406.3054599356","11672.207002664","12187.8362221522","12887.4384645183","13920.7391782447","14915.098048889","15095.6115024552","16675.5921115603",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2880.86783300286","3057.1758747007","3195.72326779441","3286.39415010291","3386.02959389583","3507.76400566136","3699.93121374916","3853.45865735846","3818.34591342975","3889.17112649987","4078.29785162817","4194.54960349258","4272.3167794949","4511.64836017105","4844.24727610872","5212.55411162864","5673.50368890553","6113.49196900474","6400.64508943385","6486.93195872072","6881.3260340274","7280.87524043754","7635.56296542082","7850.46966662295","8073.24360290087","8175.92694649957","8448.12577964803","8861.66604800702","9290.60453398355","9529.72875103436","9159.88709771739","10034.1034509528",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3238.70299030684","3482.44985865815","3708.53896654821","3946.67480934946","4237.40599970772","4533.76148956222","4856.26281036267","5112.80057068578","5095.19018256227","5321.50366293288","5728.22898061962","6042.65114969231","6419.29376809761","6848.68346476401","7435.78059674575","8069.04136318206","8899.65900089884","9861.61788903324","10499.3005460842","10837.7705819138","11761.1068990655","12625.6828137385","13482.797587785","14134.7929578093","14722.4813346794","15093.2655014525","15580.2540497244","16327.4037632762","17382.1208426914","18330.8442081655","18536.076142786","20185.1715663529",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6998.93431617779","6844.29586186415","6297.35064682309","6073.25797655815","5482.78453127377","5477.33892198366","5528.23902963525","5755.16646191859","5223.0914301147","5394.92331477785","6044.32875591615","6415.94711355355","6871.01042856497","7558.0745331955","8481.60204931652","9509.0166781899","11307.4593185594","12615.9793405465","14379.0463280227","13846.9899138884","14856.9148515716","16385.144130555","17426.0560398893","18764.1340798003","19134.1053819725","18812.910975363","19111.4329492787","20281.738753578","21665.8665794873","22093.675125573","22208.9332640394","24347.2458353747",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11789.3663309193","12103.5086034106","12161.5425329587","12266.1598994658","12481.8597396465","12845.994106651","13288.6281943463","13877.9420525122","14151.6129158263","14714.1182754843","15855.3388319409","16636.0589549655","17406.32196892","18081.0620363232","19231.8575949177","20281.0804436468","22422.4960535208","23935.5763110326","25457.517232445","24869.6837209552","25975.3910019115","27515.534018052","28293.7180814721","29539.2091004626","30245.2551555914","30656.0191587207","32053.8958589532","33774.2051386103","35499.2341406439","36457.3201228519","35644.6910815612","38717.7006482046",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4350","4650","4830","4980","5220","5370","5440","5700","5820","5380","5470","5820","6080","6250","6790","7300","7760","8000","8670","8650","8980","9710","10150","10970","11530","10870","10860","11410","11560","11520","10610","11540",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3550","3740","3900","4010","4160","4360","4560","4790","5030","5270","5610","5850","5900","6070","6350","6700","7300","7900","8460","8670","8850","8940","10260","10350","10060","10700","10450","10230","10760","11230","11630","12320",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17058.2737119272","17972.8517986809","18544.5049954924","18802.1732055807","19574.9000236815","20456.6561178661","21114.0831159902","21952.6480486458","22941.9093908485","23885.2995018184","25351.8441416475","26448.1912823991","27384.4041000892","27847.2817519963","29061.9657955369","30089.6933126904","32629.8606307741","34403.599970463","35546.7317374986","34880.7188480543","35883.7146202052","37599.1562824171","38045.0586293406","39262.3129995242","40173.6027849895","41096.7703915561","43707.5974508272","45831.9501614819","47907.0016818957","49150.4305486293","47299.0569896021","51001.5521705606",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","960","1080","1290","1300","1350","1470","1510","1510","1460","1580","1590","1510","1500","1560","1570","1610","1440","1460","1480","1610","","","","","","","","","","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13520","14300","14680","14860","15260","16150","16740","17700","18850","19770","21430","22630","24100","24840","25900","27230","30150","31670","32340","31480","31220","31310","31470","32220","33400","34900","37380","39540","40750","41790","37980","40910",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9070","9810","11050","12370","13720","15870","18280","20470","21610","19850","20460","23300","24920","26800","28120","28540","30620","32990","35490","37140","37300","41520",
