country,gender,preference,isocode,logAvgGDPpc,GenderIndex,residualsgenderGEI_trust,residualsgenderGDP_trust,residualslogAvgGDPpc_trust,residualsGenderIndex_trust,residualsgenderGEI_altruism,residualsgenderGDP_altruism,residualslogAvgGDPpc_altruism,residualsGenderIndex_altruism,residualsgenderGEI_negrecip,residualsgenderGDP_negrecip,residualslogAvgGDPpc_negrecip,residualsGenderIndex_negrecip,residualsgenderGEI_posrecip,residualsgenderGDP_posrecip,residualslogAvgGDPpc_posrecip,residualsGenderIndex_posrecip,residualsgenderGEI_risktaking,residualsgenderGDP_risktaking,residualslogAvgGDPpc_risktaking,residualsGenderIndex_risktaking,residualsgenderGEI_patience,residualsgenderGDP_patience,residualslogAvgGDPpc_patience,residualsGenderIndex_patience
Algeria,0.144133365957039,trust,DZA,8.37734266346542,-2.47294991498973,0.174823946946603,0.0885910884390577,1.11591857754557,-2.40329758293812,0.124891079506906,0.0282009002640861,1.11591857754557,-2.40329758293812,0.0740499243911778,0.0184445297892795,1.11591857754557,-2.40329758293812,0.162812909982986,0.129646920389047,1.11591857754557,-2.40329758293812,0.175960292548614,0.127377184280412,1.11591857754557,-2.40329758293812,0.0876856446960158,0.0160333656172757,1.11591857754557,-2.40329758293812
Algeria,0.115409439560518,altruism,DZA,8.37734266346542,-2.47294991498973,0.174823946946603,0.0885910884390577,1.11591857754557,-2.40329758293812,0.124891079506906,0.0282009002640861,1.11591857754557,-2.40329758293812,0.0740499243911778,0.0184445297892795,1.11591857754557,-2.40329758293812,0.162812909982986,0.129646920389047,1.11591857754557,-2.40329758293812,0.175960292548614,0.127377184280412,1.11591857754557,-2.40329758293812,0.0876856446960158,0.0160333656172757,1.11591857754557,-2.40329758293812
Algeria,0.151870278385688,negrecip,DZA,8.37734266346542,-2.47294991498973,0.174823946946603,0.0885910884390577,1.11591857754557,-2.40329758293812,0.124891079506906,0.0282009002640861,1.11591857754557,-2.40329758293812,0.0740499243911778,0.0184445297892795,1.11591857754557,-2.40329758293812,0.162812909982986,0.129646920389047,1.11591857754557,-2.40329758293812,0.175960292548614,0.127377184280412,1.11591857754557,-2.40329758293812,0.0876856446960158,0.0160333656172757,1.11591857754557,-2.40329758293812
Algeria,0.175511784926213,posrecip,DZA,8.37734266346542,-2.47294991498973,0.174823946946603,0.0885910884390577,1.11591857754557,-2.40329758293812,0.124891079506906,0.0282009002640861,1.11591857754557,-2.40329758293812,0.0740499243911778,0.0184445297892795,1.11591857754557,-2.40329758293812,0.162812909982986,0.129646920389047,1.11591857754557,-2.40329758293812,0.175960292548614,0.127377184280412,1.11591857754557,-2.40329758293812,0.0876856446960158,0.0160333656172757,1.11591857754557,-2.40329758293812
Algeria,0.303132585536709,risktaking,DZA,8.37734266346542,-2.47294991498973,0.174823946946603,0.0885910884390577,1.11591857754557,-2.40329758293812,0.124891079506906,0.0282009002640861,1.11591857754557,-2.40329758293812,0.0740499243911778,0.0184445297892795,1.11591857754557,-2.40329758293812,0.162812909982986,0.129646920389047,1.11591857754557,-2.40329758293812,0.175960292548614,0.127377184280412,1.11591857754557,-2.40329758293812,0.0876856446960158,0.0160333656172757,1.11591857754557,-2.40329758293812
Algeria,0.0610812309827107,patience,DZA,8.37734266346542,-2.47294991498973,0.174823946946603,0.0885910884390577,1.11591857754557,-2.40329758293812,0.124891079506906,0.0282009002640861,1.11591857754557,-2.40329758293812,0.0740499243911778,0.0184445297892795,1.11591857754557,-2.40329758293812,0.162812909982986,0.129646920389047,1.11591857754557,-2.40329758293812,0.175960292548614,0.127377184280412,1.11591857754557,-2.40329758293812,0.0876856446960158,0.0160333656172757,1.11591857754557,-2.40329758293812
Argentina,0.0879160585389234,trust,ARG,9.15503477940437,0.143549225636374,0.0145718623572776,-0.00313894868435773,0.378837410162142,-0.242297501325863,0.110670725959636,0.0886229465531684,0.378837410162142,-0.242297501325863,0.0937667438519006,0.0804925416465553,0.378837410162142,-0.242297501325863,0.117610133486575,0.109112161027232,0.378837410162142,-0.242297501325863,0.0442514555386355,0.0319738280202883,0.378837410162142,-0.242297501325863,0.0539962254237759,0.0417266531946995,0.378837410162142,-0.242297501325863
Argentina,0.220304790450496,altruism,ARG,9.15503477940437,0.143549225636374,0.0145718623572776,-0.00313894868435773,0.378837410162142,-0.242297501325863,0.110670725959636,0.0886229465531684,0.378837410162142,-0.242297501325863,0.0937667438519006,0.0804925416465553,0.378837410162142,-0.242297501325863,0.117610133486575,0.109112161027232,0.378837410162142,-0.242297501325863,0.0442514555386355,0.0319738280202883,0.378837410162142,-0.242297501325863,0.0539962254237759,0.0417266531946995,0.378837410162142,-0.242297501325863
Argentina,0.24075880628655,negrecip,ARG,9.15503477940437,0.143549225636374,0.0145718623572776,-0.00313894868435773,0.378837410162142,-0.242297501325863,0.110670725959636,0.0886229465531684,0.378837410162142,-0.242297501325863,0.0937667438519006,0.0804925416465553,0.378837410162142,-0.242297501325863,0.117610133486575,0.109112161027232,0.378837410162142,-0.242297501325863,0.0442514555386355,0.0319738280202883,0.378837410162142,-0.242297501325863,0.0539962254237759,0.0417266531946995,0.378837410162142,-0.242297501325863
Argentina,0.172220282699385,posrecip,ARG,9.15503477940437,0.143549225636374,0.0145718623572776,-0.00313894868435773,0.378837410162142,-0.242297501325863,0.110670725959636,0.0886229465531684,0.378837410162142,-0.242297501325863,0.0937667438519006,0.0804925416465553,0.378837410162142,-0.242297501325863,0.117610133486575,0.109112161027232,0.378837410162142,-0.242297501325863,0.0442514555386355,0.0319738280202883,0.378837410162142,-0.242297501325863,0.0539962254237759,0.0417266531946995,0.378837410162142,-0.242297501325863
