country,gender,preference,isocode,logAvgGDPpc,GenderIndex,GenderIndexNorm,ScoreWEFNorm,ValueUNNorm,DateNorm,avgRatioLaborNorm,residualslogAvgGDPpcNorm,residualsavgGenderDiffNorm_GEI,residualsgenderGEI_trust,residualsgenderGDP_trust,residualsgenderGEI_altruism,residualsgenderGDP_altruism,residualsgenderGEI_negrecip,residualsgenderGDP_negrecip,residualsgenderGEI_posrecip,residualsgenderGDP_posrecip,residualsgenderGEI_risktaking,residualsgenderGDP_risktaking,residualsgenderGEI_patience,residualsgenderGDP_patience,residualslogAvgGDPpc,residualsGenderIndex
Algeria,0.139252353879268,trust,DZA,8.37734266346542,-2.47294991498973,-1.63035573312963,-1.30357750951822,-0.655534167934598,-0.800500830093517,-2.24436670411413,0.632279800688722,0.43690347902778,0.166922286777619,0.0884212027982532,0.0966987211660343,0.00843417732655895,0.0894607739846086,0.0457699125661131,0.16122925772082,0.131247345418355,0.154243441288227,0.116462989139661,0.0895313064953004,0.0120205075122763,1.11591857754583,-2.40329758293828
Algeria,0.0921301140427915,altruism,DZA,8.37734266346542,-2.47294991498973,-1.63035573312963,-1.30357750951822,-0.655534167934598,-0.800500830093517,-2.24436670411413,0.632279800688722,0.43690347902778,0.0209828883001045,0.00490796919978098,0.141184966469787,0.121064315053714,0.120245146582163,0.109201054990094,0.0901670499076207,0.0825415689144795,0.0401898114869848,0.0309290727741348,0.033377733296211,0.0193575822951355,1.11591857754563,-2.40329758293822
Algeria,0.173543202291674,negrecip,DZA,8.37734266346542,-2.47294991498973,-1.63035573312963,-1.30357750951822,-0.655534167934598,-0.800500830093517,-2.24436670411413,0.632279800688722,0.43690347902778,0.123477326673635,0.0622518092033251,0.0909740197012235,0.0113028259806721,0.113275463084757,0.0680991342662549,-0.0265231375626836,-0.0577716399240152,0.0831587399056613,0.0456250658434625,0.0424803112097443,-0.0081711603048514,1.11591857754558,-2.40329758293813
Algeria,0.175362664121107,posrecip,DZA,8.37734266346542,-2.47294991498973,-1.63035573312963,-1.30357750951822,-0.655534167934598,-0.800500830093517,-2.24436670411413,0.632279800688722,0.43690347902778,0.140114115057045,0.12067937484523,0.00330876723036201,-0.0279462081990767,0.0152764455140048,-0.0051773390327851,-0.0193669809724484,-0.0336175802627353,0.108558612293164,0.09220120535847,0.203046723318255,0.192366736088883,1.11591857754558,-2.40329758293813
Algeria,0.28407084475018,risktaking,DZA,8.37734266346542,-2.47294991498973,-1.63035573312963,-1.30357750951822,-0.655534167934598,-0.800500830093517,-2.24436670411413,0.632279800688722,0.43690347902778,-0.0393327862366785,-0.0196930466848779,-0.147927017560893,-0.115113516566025,0.0829250173362881,0.104853981782423,-0.112271676923933,-0.0969784541808908,-0.00759506426398919,0.00985020272467737,-0.0237334337458042,-0.0140528732110253,1.11591857754558,-2.40329758293813
Algeria,0.0550155845325567,patience,DZA,8.37734266346542,-2.47294991498973,-1.63035573312963,-1.30357750951822,-0.655534167934598,-0.800500830093517,-2.24436670411413,0.632279800688722,0.43690347902778,-0.0311008556949339,0.022813336402393,0.220392869605242,0.288181183178049,-0.00675706953138809,0.0305966676483278,0.0689248818368068,0.0947217070025934,0.0340845321088054,0.0653716133356933,0.134650377702082,0.181396989743228,1.11591857754558,-2.40329758293813
Argentina,0.0879658657411688,trust,ARG,9.15503477940437,0.143549225636374,0.09463851313121,0.547442063161943,-0.300180094868187,-0.0120749903385925,-0.0923058657251586,0.237654207507722,0.257692465612112,0.0548746738877909,0.0381290415524933,0.020503468351159,0.00155395330778195,0.0300046958184532,0.0205604985001199,0.2638577163601,0.257374073687686,-0.101656580253329,-0.109806054945981,-0.0470865478317581,-0.0635112801372583,0.378837410162145,-0.242297501325864
Argentina,0.245345644167786,altruism,ARG,9.15503477940437,0.143549225636374,0.09463851313121,0.547442063161943,-0.300180094868187,-0.0120749903385925,-0.0923058657251586,0.237654207507722,0.257692465612112,-0.0500503804348916,-0.0748351844123064,0.0249439576401508,-0.00561047321301434,-0.189438700443526,-0.20598695880161,0.0751185248476335,0.0637013055993771,-0.103153387156774,-0.117083128393723,-0.0670023623143243,-0.0890427799940122,0.378837410162145,-0.242297501325864
Argentina,0.259369360919659,negrecip,ARG,9.15503477940437,0.143549225636374,0.09463851313121,0.547442063161943,-0.300180094868187,-0.0120749903385925,-0.0923058657251586,0.237654207507722,0.257692465612112,-0.169397010314779,-0.0997005395581555,-0.224193260713609,-0.133891393263712,-0.0294036473461443,0.0216209976848103,-0.248925817263377,-0.213638785229462,-0.0229873483991494,0.0194471020839932,0.142419651252169,0.200434165289123,0.378837410162145,-0.242297501325864
Argentina,0.142124287408118,posrecip,ARG,9.15503477940437,0.143549225636374,0.09463851313121,0.547442063161943,-0.300180094868187,-0.0120749903385925,-0.0923058657251586,0.237654207507722,0.257692465612112,-0.140421810853494,-0.0899844164421835,-0.0113536398032079,0.0541349922570951,-0.00856317092951883,0.0285051061958804,0.0313455078351287,0.0569831808030976,-0.132965946919062,-0.102153270279276,-0.016635367063862,0.025221707640676,0.378837410162145,-0.242297501325864
Argentina,0.217287308470754,risktaking,ARG,9.15503477940437,0.143549225636374,0.09463851313121,0.547442063161943,-0.300180094868187,-0.0120749903385925,-0.0923058657251586,0.237654207507722,0.257692465612112,0.140068686625029,0.0947856367024261,0.0349174998506565,-0.0260348414995191,0.196952785779624,0.161462772473731,0.0221111386256146,-0.00247222488194388,0.082578862567683,0.0533089631144352,0.176318129160113,0.140689853554037,0.378837410162145,-0.242297501325864
