preference,GDPquant,GEIquant,meanGenderGDP,meanGenderGEI,preference_f
trust,1,1,-0.0130340723929575,0.0162491529535836,trust
trust,2,1,0.0458828770733919,0.0162491529535836,trust
trust,3,3,0.0751841659403771,0.0756996517459411,trust
trust,4,3,0.162123301300998,0.0756996517459411,trust
trust,4,4,0.162123301300998,0.182413361888006,trust
trust,1,3,-0.0130340723929575,0.0756996517459411,trust
trust,2,3,0.0458828770733919,0.0756996517459411,trust
trust,2,2,0.0458828770733919,-0.00420589466572153,trust
trust,3,2,0.0751841659403771,-0.00420589466572153,trust
trust,1,2,-0.0130340723929575,-0.00420589466572153,trust
trust,3,4,0.0751841659403771,0.182413361888006,trust
trust,1,4,-0.0130340723929575,0.182413361888006,trust
trust,3,1,0.0751841659403771,0.0162491529535836,trust
trust,4,1,0.162123301300998,0.0162491529535836,trust
altruism,1,1,0.0225590043109481,0.0396157685662536,altruism
altruism,2,1,0.0693728478512717,0.0396157685662536,altruism
altruism,3,3,0.146106331504311,0.121391169742974,altruism
altruism,4,3,0.183066436070568,0.121391169742974,altruism
altruism,4,4,0.183066436070568,0.187922183405288,altruism
altruism,1,3,0.0225590043109481,0.121391169742974,altruism
altruism,2,3,0.0693728478512717,0.121391169742974,altruism
altruism,2,2,0.0693728478512717,0.0721754980225837,altruism
altruism,3,2,0.146106331504311,0.0721754980225837,altruism
altruism,1,2,0.0225590043109481,0.0721754980225837,altruism
altruism,3,4,0.146106331504311,0.187922183405288,altruism
altruism,1,4,0.0225590043109481,0.187922183405288,altruism
altruism,3,1,0.146106331504311,0.0396157685662536,altruism
altruism,4,1,0.183066436070568,0.0396157685662536,altruism
negrecip,1,1,0.0937127477721801,0.109054123201701,negrecip
negrecip,2,1,0.119984134841931,0.109054123201701,negrecip
negrecip,3,3,0.131368847669628,0.14812383312223,negrecip
negrecip,4,3,0.215077219124307,0.14812383312223,negrecip
negrecip,4,4,0.215077219124307,0.231827273338116,negrecip
negrecip,1,3,0.0937127477721801,0.14812383312223,negrecip
negrecip,2,3,0.119984134841931,0.14812383312223,negrecip
negrecip,2,2,0.119984134841931,0.0711377197459985,negrecip
negrecip,3,2,0.131368847669628,0.0711377197459985,negrecip
negrecip,1,2,0.0937127477721801,0.0711377197459985,negrecip
negrecip,3,4,0.131368847669628,0.231827273338116,negrecip
negrecip,1,4,0.0937127477721801,0.231827273338116,negrecip
negrecip,3,1,0.131368847669628,0.109054123201701,negrecip
negrecip,4,1,0.215077219124307,0.109054123201701,negrecip
posrecip,1,1,-0.0085072230343071,0.0298060716118225,posrecip
posrecip,2,1,0.0555235149168414,0.0298060716118225,posrecip
posrecip,3,3,0.109942362705986,0.0535648111142895,posrecip
posrecip,4,3,0.0608893475278789,0.0535648111142895,posrecip
posrecip,4,4,0.0608893475278789,0.0963938813421351,posrecip
posrecip,1,3,-0.0085072230343071,0.0535648111142895,posrecip
posrecip,2,3,0.0555235149168414,0.0535648111142895,posrecip
posrecip,2,2,0.0555235149168414,0.0380832380481517,posrecip
posrecip,3,2,0.109942362705986,0.0380832380481517,posrecip
posrecip,1,2,-0.0085072230343071,0.0380832380481517,posrecip
posrecip,3,4,0.109942362705986,0.0963938813421351,posrecip
posrecip,1,4,-0.0085072230343071,0.0963938813421351,posrecip
posrecip,3,1,0.109942362705986,0.0298060716118225,posrecip
posrecip,4,1,0.0608893475278789,0.0298060716118225,posrecip
risktaking,1,1,0.140108806801997,0.161743141667886,risktaking
risktaking,2,1,0.15933525346941,0.161743141667886,risktaking
risktaking,3,3,0.169266542523807,0.202735202487705,risktaking
risktaking,4,3,0.260166929303074,0.202735202487705,risktaking
risktaking,4,4,0.260166929303074,0.255890418845831,risktaking
risktaking,1,3,0.140108806801997,0.202735202487705,risktaking
risktaking,2,3,0.15933525346941,0.202735202487705,risktaking
risktaking,2,2,0.15933525346941,0.108508769096865,risktaking
risktaking,3,2,0.169266542523807,0.108508769096865,risktaking
risktaking,1,2,0.140108806801997,0.108508769096865,risktaking
risktaking,3,4,0.169266542523807,0.255890418845831,risktaking
risktaking,1,4,0.140108806801997,0.255890418845831,risktaking
risktaking,3,1,0.169266542523807,0.161743141667886,risktaking
risktaking,4,1,0.260166929303074,0.161743141667886,risktaking
patience,1,1,0.025845694305317,0.0285730528051495,patience
patience,2,1,0.0135949540770686,0.0285730528051495,patience
patience,3,3,0.0478219907588032,0.0530092305368873,patience
patience,4,3,0.135011861519789,0.0530092305368873,patience
patience,4,4,0.135011861519789,0.122882806988275,patience
patience,1,3,0.025845694305317,0.0530092305368873,patience
patience,2,3,0.0135949540770686,0.0530092305368873,patience
patience,2,2,0.0135949540770686,0.0178094103306658,patience
patience,3,2,0.0478219907588032,0.0178094103306658,patience
patience,1,2,0.025845694305317,0.0178094103306658,patience
patience,3,4,0.0478219907588032,0.122882806988275,patience
patience,1,4,0.025845694305317,0.122882806988275,patience
patience,3,1,0.0478219907588032,0.0285730528051495,patience
patience,4,1,0.135011861519789,0.0285730528051495,patience
