country,gender,preference,isocode,logAvgGDPpc,genderOrig
Peru,0.161565644684277,risktaking,PER,8.40736001602751,-0.161565644684277
Philippines,0.183822118511772,risktaking,PHL,7.62901056403653,-0.183822118511772
Poland,0.247561524589014,risktaking,POL,9.33943401027034,-0.247561524589014
Portugal,0.190592266990031,risktaking,PRT,10.0054394492667,-0.190592266990031
Romania,0.187509084811591,risktaking,ROU,8.94988350962712,-0.187509084811591
Russia,0.298614886834375,risktaking,RUS,9.20980936584525,-0.298614886834375
Rwanda,0.208920060194075,risktaking,RWA,6.29606341020118,-0.208920060194075
Saudi Arabia,0.120288922241646,risktaking,SAU,9.87514939493861,-0.120288922241646
Serbia,0.237911035592753,risktaking,SRB,8.57970094547058,-0.237911035592753
South Africa,0.122306832695385,risktaking,ZAF,8.86385418159955,-0.122306832695385
South Korea,0.281051203714954,risktaking,KOR,9.95737590307406,-0.281051203714954
Spain,0.221693843262752,risktaking,ESP,10.3356817805906,-0.221693843262752
Sri Lanka,0.0951468393043013,risktaking,LKA,7.82489428939383,-0.0951468393043013
Suriname,0.16209081139047,risktaking,SUR,8.93962955677749,-0.16209081139047
Sweden,0.359639537148718,risktaking,SWE,10.8520837820769,-0.359639537148718
Switzerland,0.30307263730185,risktaking,CHE,11.1957573605179,-0.30307263730185
Tanzania,-0.106378971797848,risktaking,TZA,6.5377094705006,0.106378971797848
Thailand,0.13985589657694,risktaking,THA,8.45371423132472,-0.13985589657694
Turkey,0.10843689529946,risktaking,TUR,9.23887703165831,-0.10843689529946
Uganda,0.303168038790862,risktaking,UGA,6.61112540747215,-0.303168038790862
Ukraine,0.349059642025732,risktaking,UKR,7.98643642485663,-0.349059642025732
United Arab Emirates,0.185576180789763,risktaking,ARE,10.7359992643429,-0.185576180789763
United Kingdom,0.321105078137686,risktaking,GBR,10.5936711459176,-0.321105078137686
United States,0.427543185061297,risktaking,USA,10.7891852208812,-0.427543185061297
Venezuela,0.150287030550293,risktaking,VEN,9.49812822025194,-0.150287030550293
Vietnam,0.0919465552333914,risktaking,VNM,7.06398624830281,-0.0919465552333914
Zimbabwe,0.415682392472649,risktaking,ZWE,6.8769835499244,-0.415682392472649
Afghanistan,-0.237925282516942,patience,AFG,6.07601480077745,0.237925282516942
Algeria,0.0647801867447177,patience,DZA,8.37734266346542,-0.0647801867447177
Argentina,0.140821847755222,patience,ARG,9.15503477940437,-0.140821847755222
Australia,0.191635599125397,patience,AUS,10.831083350524,-0.191635599125397
Austria,0.284437728196608,patience,AUT,10.7415607995392,-0.284437728196608
Bangladesh,-0.0201897408324378,patience,BGD,6.55805694315242,0.0201897408324378
Bolivia,0.180429229988929,patience,BOL,7.51692562881957,-0.180429229988929
Bosnia Herzegovina,-0.0628013847634571,patience,BIH,8.367686754699,0.0628013847634571
Botswana,-0.00414436996482576,patience,BWA,8.73160425672903,0.00414436996482576
Brazil,0.00269015032260862,patience,BRA,9.24850504607934,-0.00269015032260862
Cambodia,0.193894587039092,patience,KHM,6.56080194725664,-0.193894587039092
Cameroon,0.058347572290539,patience,CMR,7.14745441142489,-0.058347572290539
Canada,0.235815075034659,patience,CAN,10.7426526485155,-0.235815075034659
Chile,0.0811370031016332,patience,CHL,9.40267181395829,-0.0811370031016332
China,0.13882000237307,patience,CHN,8.20964305246326,-0.13882000237307
Colombia,0.0178715335560803,patience,COL,8.69234737053681,-0.0178715335560803
Costa Rica,0.0980536984721335,patience,CRI,8.94050293024014,-0.0980536984721335
Croatia,0.0266047347628407,patience,HRV,9.53902869373319,-0.0266047347628407
Czech Republic,0.110758440637653,patience,CZE,9.8534106179569,-0.110758440637653
Egypt,0.105132705768575,patience,EGY,7.7788079739548,-0.105132705768575
Estonia,0.0513462213957155,patience,EST,9.63521000605059,-0.0513462213957155
Finland,0.0757366192505605,patience,FIN,10.7444796249982,-0.0757366192505605
France,0.268086211507991,patience,FRA,10.6117864311674,-0.268086211507991
Georgia,0.10647722023186,patience,GEO,7.97290299399182,-0.10647722023186
Germany,0.254113117623596,patience,DEU,10.618662465785,-0.254113117623596
Ghana,-0.0293784729241853,patience,GHA,7.09963552635201,0.0293784729241853
Greece,0.185198298728792,patience,GRC,10.2165706203312,-0.185198298728792
Guatemala,0.0771242922846293,patience,GTM,7.94414266128193,-0.0771242922846293
Haiti,0.225441279066993,patience,HTI,6.53407979863068,-0.225441279066993
Hungary,0.200303162417338,patience,HUN,9.48626689053039,-0.200303162417338
India,0.036780963253706,patience,IND,7.08342932975559,-0.036780963253706
Indonesia,0.127514560046665,patience,IDN,7.949606100172,-0.127514560046665
Iran,-0.0836730746996229,patience,IRN,8.71899979801416,0.0836730746996229
Iraq,-0.00628462946352776,patience,IRQ,8.34982696860798,0.00628462946352776
Israel,0.129564635905416,patience,ISR,10.284498722553,-0.129564635905416
Italy,0.169068475761453,patience,ITA,10.5134215660861,-0.169068475761453
Japan,-0.00432058348423485,patience,JPN,10.700332166688,0.00432058348423485
Jordan,-0.0462797953995311,patience,JOR,8.17318158968626,0.0462797953995311
Kazakhstan,0.00949341238504165,patience,KAZ,9.01546392675182,-0.00949341238504165
Kenya,-0.131655591468172,patience,KEN,6.80663994139168,0.131655591468172
Lithuania,0.0970582819115793,patience,LTU,9.36720863436723,-0.0970582819115793
Malawi,0.0711333939929029,patience,MWI,6.06391954788452,-0.0711333939929029
Mexico,0.0191331236504677,patience,MEX,9.14391571211559,-0.0191331236504677
Moldova,-0.117749816342401,patience,MDA,7.71549766835688,0.117749816342401
Morocco,-0.146509588761107,patience,MAR,7.87263480044974,0.146509588761107
Netherlands,0.294632207220969,patience,NLD,10.8220941128038,-0.294632207220969
Nicaragua,0.0212362931835368,patience,NIC,7.29807137022244,-0.0212362931835368
Nigeria,0.107050294455127,patience,NGA,7.62677036971656,-0.107050294455127
Pakistan,-0.0676430349500379,patience,PAK,6.86941729765193,0.0676430349500379
Peru,0.119652173228129,patience,PER,8.40736001602751,-0.119652173228129
Philippines,0.0716490307067039,patience,PHL,7.62901056403653,-0.0716490307067039
Poland,0.157503089444508,patience,POL,9.33943401027034,-0.157503089444508
Portugal,0.0829477844597131,patience,PRT,10.0054394492667,-0.0829477844597131
Romania,0.0798656969029582,patience,ROU,8.94988350962712,-0.0798656969029582
Russia,-0.00400701791314083,patience,RUS,9.20980936584525,0.00400701791314083
Rwanda,0.066517573698668,patience,RWA,6.29606341020118,-0.066517573698668
Saudi Arabia,0.12350334978635,patience,SAU,9.87514939493861,-0.12350334978635
Serbia,0.133833784152581,patience,SRB,8.57970094547058,-0.133833784152581
South Africa,0.0283075881200469,patience,ZAF,8.86385418159955,-0.0283075881200469
South Korea,-0.0238800474275914,patience,KOR,9.95737590307406,0.0238800474275914
Spain,0.176858006902971,patience,ESP,10.3356817805906,-0.176858006902971
Sri Lanka,-0.0705608667207722,patience,LKA,7.82489428939383,0.0705608667207722
Suriname,-0.0838919295805559,patience,SUR,8.93962955677749,0.0838919295805559
Sweden,0.219709217319124,patience,SWE,10.8520837820769,-0.219709217319124
Switzerland,0.279405482381623,patience,CHE,11.1957573605179,-0.279405482381623
Tanzania,-0.00988504958599045,patience,TZA,6.5377094705006,0.00988504958599045
Thailand,-0.0642564499388644,patience,THA,8.45371423132472,0.0642564499388644
Turkey,0.224031206738644,patience,TUR,9.23887703165831,-0.224031206738644
Uganda,0.0582690815896853,patience,UGA,6.61112540747215,-0.0582690815896853
Ukraine,0.156217992264339,patience,UKR,7.98643642485663,-0.156217992264339
United Arab Emirates,0.0951436543490496,patience,ARE,10.7359992643429,-0.0951436543490496
United Kingdom,0.278097893025228,patience,GBR,10.5936711459176,-0.278097893025228
United States,0.0436270571393865,patience,USA,10.7891852208812,-0.0436270571393865
Venezuela,0.0746721763620908,patience,VEN,9.49812822025194,-0.0746721763620908
Vietnam,-0.0644287787823267,patience,VNM,7.06398624830281,0.0644287787823267
Zimbabwe,0.197616856856292,patience,ZWE,6.8769835499244,-0.197616856856292
