country,gender,preference,isocode,logAvgGDPpc,genderOrig
Bolivia,0.282433510174892,altruism,BOL,7.51692562881957,0.282433510174892
Bosnia Herzegovina,0.0310516357216059,altruism,BIH,8.367686754699,0.0310516357216059
Botswana,0.101876829627903,altruism,BWA,8.73160425672903,0.101876829627903
Brazil,0.127575266995348,altruism,BRA,9.24850504607934,0.127575266995348
Cambodia,-0.186516743990539,altruism,KHM,6.56080194725664,-0.186516743990539
Cameroon,0.101204281652296,altruism,CMR,7.14745441142489,0.101204281652296
Canada,0.216116553826709,altruism,CAN,10.7426526485155,0.216116553826709
Chile,0.187631196956808,altruism,CHL,9.40267181395829,0.187631196956808
China,0.0962151289092513,altruism,CHN,8.20964305246326,0.0962151289092513
Colombia,0.260399288726053,altruism,COL,8.69234737053681,0.260399288726053
Costa Rica,0.065572843819923,altruism,CRI,8.94050293024014,0.065572843819923
Croatia,0.198075541775791,altruism,HRV,9.53902869373319,0.198075541775791
Czech Republic,0.17855852939063,altruism,CZE,9.8534106179569,0.17855852939063
Egypt,-0.0351693500389437,altruism,EGY,7.7788079739548,-0.0351693500389437
Estonia,0.332764839636651,altruism,EST,9.63521000605059,0.332764839636651
Finland,0.344394691366536,altruism,FIN,10.7444796249982,0.344394691366536
France,0.0475473604929703,altruism,FRA,10.6117864311674,0.0475473604929703
Georgia,-0.0805969364802184,altruism,GEO,7.97290299399182,-0.0805969364802184
Germany,0.229562937858499,altruism,DEU,10.618662465785,0.229562937858499
Ghana,-0.00501763126239175,altruism,GHA,7.09963552635201,-0.00501763126239175
Greece,-0.054265177234845,altruism,GRC,10.2165706203312,-0.054265177234845
Guatemala,0.172386380031355,altruism,GTM,7.94414266128193,0.172386380031355
Haiti,0.116271745038868,altruism,HTI,6.53407979863068,0.116271745038868
Hungary,0.105994906861026,altruism,HUN,9.48626689053039,0.105994906861026
India,0.0761152058976601,altruism,IND,7.08342932975559,0.0761152058976601
Indonesia,-0.03035581359411,altruism,IDN,7.949606100172,-0.03035581359411
Iran,0.0383493617573533,altruism,IRN,8.71899979801416,0.0383493617573533
Iraq,0.044678423076554,altruism,IRQ,8.34982696860798,0.044678423076554
Israel,0.137640470301156,altruism,ISR,10.284498722553,0.137640470301156
Italy,0.12334826178664,altruism,ITA,10.5134215660861,0.12334826178664
Japan,0.163973410117664,altruism,JPN,10.700332166688,0.163973410117664
Jordan,-0.0912455453443907,altruism,JOR,8.17318158968626,-0.0912455453443907
Kazakhstan,0.0365782563277255,altruism,KAZ,9.01546392675182,0.0365782563277255
Kenya,-0.033459475484233,altruism,KEN,6.80663994139168,-0.033459475484233
Lithuania,0.146978076081227,altruism,LTU,9.36720863436723,0.146978076081227
Malawi,-0.0187777239565271,altruism,MWI,6.06391954788452,-0.0187777239565271
Mexico,0.00242716423745185,altruism,MEX,9.14391571211559,0.00242716423745185
Moldova,-0.0376289028491723,altruism,MDA,7.71549766835688,-0.0376289028491723
Morocco,0.0185007909062144,altruism,MAR,7.87263480044974,0.0185007909062144
Netherlands,0.147590426545171,altruism,NLD,10.8220941128038,0.147590426545171
Nicaragua,0.0662127373546013,altruism,NIC,7.29807137022244,0.0662127373546013
