country,gender,preference,isocode,logAvgGDPpc,GenderIndexRescaled,genderOrig,residualsgenderGEI_trust,residualsgenderGDP_trust,residualslogAvgGDPpc_trust,residualsGenderIndex_trust,residualsgenderGEI_altruism,residualsgenderGDP_altruism,residualslogAvgGDPpc_altruism,residualsGenderIndex_altruism,residualsgenderGEI_negrecip,residualsgenderGDP_negrecip,residualslogAvgGDPpc_negrecip,residualsGenderIndex_negrecip,residualsgenderGEI_posrecip,residualsgenderGDP_posrecip,residualslogAvgGDPpc_posrecip,residualsGenderIndex_posrecip,residualsgenderGEI_risktaking,residualsgenderGDP_risktaking,residualslogAvgGDPpc_risktaking,residualsGenderIndex_risktaking,residualsgenderGEI_patience,residualsgenderGDP_patience,residualslogAvgGDPpc_patience,residualsGenderIndex_patience,meanGender,stdGender
Afghanistan,-0.246864326895601,trust,AFG,6.07601480077745,0.00387499493635872,-0.246864326895601,-0.172925517871262,-0.183742326349729,-0.792543028666693,-0.289687759979913,0.0929655650720036,0.0790746588813636,-0.792543028666693,-0.289687759979913,0.233191762830493,0.209548315605232,-0.792543028666693,-0.289687759979913,0.0169227520820722,0.0257276489620135,-0.792543028666693,-0.289687759979913,0.151647708713782,0.13492156243351,-0.792543028666693,-0.289687759979913,-0.204905376677922,-0.236679528252478,-0.792543028666693,-0.289687759979913,0.0675390679804523,0.027358290079596
Afghanistan,0.0512902582768561,altruism,AFG,6.07601480077745,0.00387499493635872,0.0512902582768561,-0.172925517871262,-0.183742326349729,-0.792543028666693,-0.289687759979913,0.0929655650720036,0.0790746588813636,-0.792543028666693,-0.289687759979913,0.233191762830493,0.209548315605232,-0.792543028666693,-0.289687759979913,0.0169227520820722,0.0257276489620135,-0.792543028666693,-0.289687759979913,0.151647708713782,0.13492156243351,-0.792543028666693,-0.289687759979913,-0.204905376677922,-0.236679528252478,-0.792543028666693,-0.289687759979913,0.105276154934275,0.0272856865563256
Afghanistan,0.274649650410628,negrecip,AFG,6.07601480077745,0.00387499493635872,-0.274649650410628,-0.172925517871262,-0.183742326349729,-0.792543028666693,-0.289687759979913,0.0929655650720036,0.0790746588813636,-0.792543028666693,-0.289687759979913,0.233191762830493,0.209548315605232,-0.792543028666693,-0.289687759979913,0.0169227520820722,0.0257276489620135,-0.792543028666693,-0.289687759979913,0.151647708713782,0.13492156243351,-0.792543028666693,-0.289687759979913,-0.204905376677922,-0.236679528252478,-0.792543028666693,-0.289687759979913,-0.140035737352011,0.0245438231557946
Afghanistan,0.0189887545836523,posrecip,AFG,6.07601480077745,0.00387499493635872,0.0189887545836523,-0.172925517871262,-0.183742326349729,-0.792543028666693,-0.289687759979913,0.0929655650720036,0.0790746588813636,-0.792543028666693,-0.289687759979913,0.233191762830493,0.209548315605232,-0.792543028666693,-0.289687759979913,0.0169227520820722,0.0257276489620135,-0.792543028666693,-0.289687759979913,0.151647708713782,0.13492156243351,-0.792543028666693,-0.289687759979913,-0.204905376677922,-0.236679528252478,-0.792543028666693,-0.289687759979913,0.0544620005290997,0.0229528190378475
Afghanistan,0.240400927788909,risktaking,AFG,6.07601480077745,0.00387499493635872,-0.240400927788909,-0.172925517871262,-0.183742326349729,-0.792543028666693,-0.289687759979913,0.0929655650720036,0.0790746588813636,-0.792543028666693,-0.289687759979913,0.233191762830493,0.209548315605232,-0.792543028666693,-0.289687759979913,0.0169227520820722,0.0257276489620135,-0.792543028666693,-0.289687759979913,0.151647708713782,0.13492156243351,-0.792543028666693,-0.289687759979913,-0.204905376677922,-0.236679528252478,-0.792543028666693,-0.289687759979913,-0.182219383024572,0.0253670250292599
Afghanistan,-0.264139149215466,patience,AFG,6.07601480077745,0.00387499493635872,0.264139149215466,-0.172925517871262,-0.183742326349729,-0.792543028666693,-0.289687759979913,0.0929655650720036,0.0790746588813636,-0.792543028666693,-0.289687759979913,0.233191762830493,0.209548315605232,-0.792543028666693,-0.289687759979913,0.0169227520820722,0.0257276489620135,-0.792543028666693,-0.289687759979913,0.151647708713782,0.13492156243351,-0.792543028666693,-0.289687759979913,-0.204905376677922,-0.236679528252478,-0.792543028666693,-0.289687759979913,-0.0555686251652444,0.0242829699449249
Algeria,0.144133365957039,trust,DZA,8.37734266346542,0.16542203180228,0.144133365957039,0.172405930958805,0.0944466814566235,0.904224696971789,-0.310137641363176,0.109651738079874,0.0283135129860509,0.904224696971789,-0.310137641363176,0.0785934220861501,0.0220729211816254,0.904224696971789,-0.310137641363176,0.156533396669439,0.129411738401717,0.904224696971789,-0.310137641363176,0.184210348229675,0.131398286088649,0.904224696971789,-0.310137641363176,0.0832590735129475,0.0168568578297439,0.904224696971789,-0.310137641363176,0.0675390679804523,0.027358290079596
Algeria,0.115409439560518,altruism,DZA,8.37734266346542,0.16542203180228,0.115409439560518,0.172405930958805,0.0944466814566235,0.904224696971789,-0.310137641363176,0.109651738079874,0.0283135129860509,0.904224696971789,-0.310137641363176,0.0785934220861501,0.0220729211816254,0.904224696971789,-0.310137641363176,0.156533396669439,0.129411738401717,0.904224696971789,-0.310137641363176,0.184210348229675,0.131398286088649,0.904224696971789,-0.310137641363176,0.0832590735129475,0.0168568578297439,0.904224696971789,-0.310137641363176,0.105276154934275,0.0272856865563256
Algeria,0.151870278385688,negrecip,DZA,8.37734266346542,0.16542203180228,-0.151870278385688,0.172405930958805,0.0944466814566235,0.904224696971789,-0.310137641363176,0.109651738079874,0.0283135129860509,0.904224696971789,-0.310137641363176,0.0785934220861501,0.0220729211816254,0.904224696971789,-0.310137641363176,0.156533396669439,0.129411738401717,0.904224696971789,-0.310137641363176,0.184210348229675,0.131398286088649,0.904224696971789,-0.310137641363176,0.0832590735129475,0.0168568578297439,0.904224696971789,-0.310137641363176,-0.140035737352011,0.0245438231557946
Algeria,0.175511784926213,posrecip,DZA,8.37734266346542,0.16542203180228,0.175511784926213,0.172405930958805,0.0944466814566235,0.904224696971789,-0.310137641363176,0.109651738079874,0.0283135129860509,0.904224696971789,-0.310137641363176,0.0785934220861501,0.0220729211816254,0.904224696971789,-0.310137641363176,0.156533396669439,0.129411738401717,0.904224696971789,-0.310137641363176,0.184210348229675,0.131398286088649,0.904224696971789,-0.310137641363176,0.0832590735129475,0.0168568578297439,0.904224696971789,-0.310137641363176,0.0544620005290997,0.0229528190378475
